<<<<<<< HEAD
E1,0,0,0,-116,0,29
E1,0,0,0,280,0,-35
E1,0,0,0,-101,0,70
E1,0,0,0,235,0,-164
E1,0,0,0,-197,0,-46
E1,0,0,0,-104,0,-183
E1,0,0,0,-86,0,187
E1,0,0,0,-181,0,205
E1,0,0,0,114,0,-121
E1,0,0,0,163,0,-204
E1,0,0,0,0,0,-255
E1,0,0,0,266,0,-200
E1,0,0,0,284,0,150
E1,0,0,0,235,0,-220
E1,0,0,0,-83,0,-15
E1,0,0,0,218,0,-190
E1,0,0,0,134,0,214
E1,0,0,0,13,0,42
E1,0,0,0,-113,0,-250
E1,0,0,0,122,0,-280
=======
B107,-9,0,2,103,0,96;;
E1,9,0,-2,322,0,-4;;
E1,-8,0,-5,134,0,357;;
E1,8,0,4,-207,0,-38;;
E1,-8,0,4,292,0,-31;;
E1,-9,0,3,453,0,281;;
E1,0,0,-9,207,0,10;;
E1,3,0,-9,410,0,354;;
E1,2,0,9,-235,0,28;;
E1,9,0,0,144,0,311;;
E1,-8,0,4,-115,0,102;;
E1,4,0,-9,185,0,-43;;
E1,5,0,-8,89,0,-79;;
E1,5,0,-8,85,0,249;;
E1,5,0,-8,-12,0,-170;;
E1,8,0,-5,-126,0,254;;
E1,9,0,-2,-145,0,-119;;
E1,-1,0,-9,-124,0,89;;
E1,9,0,2,-51,0,74;;
E1,7,0,6,32,0,195;;
E1,0,0,9,190,0,-94;;
>>>>>>> 44f64d845caba2c306b2cdd848690c79f2926aaa
